op,element_type,analysis,n,sparsity,time_ns
SUM,double,"AnalysisFlag::min",1024,0.2,325876
SUM,double,"AnalysisFlag::min",1024,0.2,327686
SUM,double,"AnalysisFlag::min",1024,0.2,326033
SUM,double,"AnalysisFlag::min",1024,0.2,326114
SUM,double,"AnalysisFlag::min",1024,0.2,327602
SUM,double,"AnalysisFlag::min",1024,0.2,328200
SUM,double,"AnalysisFlag::min",1024,0.2,326201
SUM,double,"AnalysisFlag::min",2048,0.2,1.29809e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29285e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29204e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29251e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29481e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29176e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29304e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29422e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29386e+06
SUM,double,"AnalysisFlag::min",2048,0.2,1.29339e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.21382e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.2084e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.19887e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.21371e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.21372e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.21104e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.2123e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.2187e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.22096e+06
SUM,double,"AnalysisFlag::min",4096,0.2,5.21154e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.2,336273
SUM,int64_t,"AnalysisFlag::min",1024,0.2,356987
SUM,int64_t,"AnalysisFlag::min",1024,0.2,360011
SUM,int64_t,"AnalysisFlag::min",1024,0.2,324060
SUM,int64_t,"AnalysisFlag::min",1024,0.2,326283
SUM,int64_t,"AnalysisFlag::min",1024,0.2,324483
SUM,int64_t,"AnalysisFlag::min",1024,0.2,324496
SUM,int64_t,"AnalysisFlag::min",1024,0.2,359750
SUM,int64_t,"AnalysisFlag::min",1024,0.2,324360
SUM,int64_t,"AnalysisFlag::min",1024,0.2,324967
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.19988e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.18251e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.18256e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.20424e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.18203e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.18098e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.18177e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.18368e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.18348e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.2,1.18145e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.4706e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.472e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.46504e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.47716e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.46404e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.45982e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.47034e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.46252e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.47487e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.2,4.47003e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.6131e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60871e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61015e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60871e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61022e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60526e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60832e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60987e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61009e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60976e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43361e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43191e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43367e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43534e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.42932e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.4345e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43083e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43009e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43357e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43172e+06
SUM,double,"AnalysisFlag::min",4096,0.25,2.5715e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.57016e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.57003e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.57029e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.57107e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56994e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.57056e+07
