mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,2048,1.0,6,6120665,True
naive,idxMin,double,,2048,1.0,6,5982619,True
vectorized,idxMin,double,,2048,1.0,7,6133286,True
naive,idxMin,double,,2048,1.0,7,6118425,True
vectorized,idxMin,double,,2048,1.0,8,6131831,True
naive,idxMin,double,,2048,1.0,8,5543461,True
vectorized,idxMin,double,,2048,1.0,9,5450221,True
naive,idxMin,double,,2048,1.0,9,6095219,True
vectorized,idxMin,double,,4096,0.001,0,21648384,False
naive,idxMin,double,,4096,0.001,0,21477472,False
vectorized,idxMin,double,,4096,0.001,1,21623308,False
naive,idxMin,double,,4096,0.001,1,21469796,False
vectorized,idxMin,double,,4096,0.001,2,21433751,False
naive,idxMin,double,,4096,0.001,2,21415022,False
vectorized,idxMin,double,,4096,0.001,3,26642868,False
naive,idxMin,double,,4096,0.001,3,21558020,False
vectorized,idxMin,double,,4096,0.001,4,21495801,False
naive,idxMin,double,,4096,0.001,4,21653921,False
vectorized,idxMin,double,,4096,0.001,5,21671217,False
naive,idxMin,double,,4096,0.001,5,21439991,False
vectorized,idxMin,double,,4096,0.001,6,24670694,False
naive,idxMin,double,,4096,0.001,6,27303166,False
vectorized,idxMin,double,,4096,0.001,7,24304437,False
naive,idxMin,double,,4096,0.001,7,21430435,False
vectorized,idxMin,double,,4096,0.001,8,21466209,False
naive,idxMin,double,,4096,0.001,8,21440736,False
vectorized,idxMin,double,,4096,0.001,9,21437895,False
naive,idxMin,double,,4096,0.001,9,21452973,False
vectorized,idxMin,double,,4096,0.01,0,21695426,False
naive,idxMin,double,,4096,0.01,0,21496851,False
vectorized,idxMin,double,,4096,0.01,1,21471887,False
naive,idxMin,double,,4096,0.01,1,21496815,False
vectorized,idxMin,double,,4096,0.01,2,21407012,False
naive,idxMin,double,,4096,0.01,2,24189244,False
vectorized,idxMin,double,,4096,0.01,3,21427987,False
naive,idxMin,double,,4096,0.01,3,24118563,False
vectorized,idxMin,double,,4096,0.01,4,21489913,False
naive,idxMin,double,,4096,0.01,4,21484422,False
vectorized,idxMin,double,,4096,0.01,5,21466349,False
naive,idxMin,double,,4096,0.01,5,21423412,False
vectorized,idxMin,double,,4096,0.01,6,21672021,False
naive,idxMin,double,,4096,0.01,6,21569664,False
vectorized,idxMin,double,,4096,0.01,7,27531910,False
