mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
naive,,int64_t,,1024,0.05,0,47907,False
vectorized,,int64_t,,1024,0.05,1,28882,False
naive,,int64_t,,1024,0.05,1,30102,False
vectorized,,int64_t,,1024,0.05,2,29854,False
naive,,int64_t,,1024,0.05,2,30738,False
vectorized,,int64_t,,1024,0.05,3,29515,False
naive,,int64_t,,1024,0.05,3,32444,False
vectorized,,int64_t,,1024,0.05,4,28105,False
naive,,int64_t,,1024,0.05,4,29608,False
vectorized,,int64_t,,1024,0.05,5,29232,False
naive,,int64_t,,1024,0.05,5,31056,False
vectorized,,int64_t,,1024,0.05,6,29003,False
naive,,int64_t,,1024,0.05,6,32943,False
vectorized,,int64_t,,1024,0.05,7,28840,False
naive,,int64_t,,1024,0.05,7,31414,False
vectorized,,int64_t,,1024,0.05,8,28767,False
naive,,int64_t,,1024,0.05,8,31781,False
vectorized,,int64_t,,1024,0.05,9,28536,False
naive,,int64_t,,1024,0.05,9,31754,False
vectorized,,int64_t,,1024,0.1,0,32169,False
naive,,int64_t,,1024,0.1,0,48074,False
vectorized,,int64_t,,1024,0.1,1,29809,False
naive,,int64_t,,1024,0.1,1,32837,False
vectorized,,int64_t,,1024,0.1,2,29789,False
naive,,int64_t,,1024,0.1,2,33443,False
vectorized,,int64_t,,1024,0.1,3,29656,False
naive,,int64_t,,1024,0.1,3,32737,False
vectorized,,int64_t,,1024,0.1,4,28484,False
naive,,int64_t,,1024,0.1,4,31106,False
vectorized,,int64_t,,1024,0.1,5,28335,False
naive,,int64_t,,1024,0.1,5,32184,False
vectorized,,int64_t,,1024,0.1,6,28312,False
naive,,int64_t,,1024,0.1,6,32196,False
vectorized,,int64_t,,1024,0.1,7,29436,False
naive,,int64_t,,1024,0.1,7,33216,False
vectorized,,int64_t,,1024,0.1,8,29302,False
naive,,int64_t,,1024,0.1,8,32596,False
vectorized,,int64_t,,1024,0.1,9,28563,False
naive,,int64_t,,1024,0.1,9,33927,False
vectorized,,int64_t,,1024,0.2,0,30213,False
naive,,int64_t,,1024,0.2,0,33618,False
vectorized,,int64_t,,1024,0.2,1,29043,False
naive,,int64_t,,1024,0.2,1,29863,False
vectorized,,int64_t,,1024,0.2,2,28413,False
naive,,int64_t,,1024,0.2,2,32710,False
vectorized,,int64_t,,1024,0.2,3,28806,False
naive,,int64_t,,1024,0.2,3,31713,False
vectorized,,int64_t,,1024,0.2,4,28724,False
naive,,int64_t,,1024,0.2,4,30053,False
vectorized,,int64_t,,1024,0.2,5,28518,False
naive,,int64_t,,1024,0.2,5,32521,False
vectorized,,int64_t,,1024,0.2,6,28567,False
naive,,int64_t,,1024,0.2,6,32570,False
vectorized,,int64_t,,1024,0.2,7,28204,False
naive,,int64_t,,1024,0.2,7,49459,False
vectorized,,int64_t,,1024,0.2,8,27545,False
naive,,int64_t,,1024,0.2,8,30163,False
vectorized,,int64_t,,1024,0.2,9,29198,False
naive,,int64_t,,1024,0.2,9,48764,False
vectorized,,int64_t,,1024,0.25,0,28175,True
naive,,int64_t,,1024,0.25,0,49737,True
vectorized,,int64_t,,1024,0.25,1,27596,True
naive,,int64_t,,1024,0.25,1,33645,True
vectorized,,int64_t,,1024,0.25,2,27459,True
naive,,int64_t,,1024,0.25,2,31922,True
vectorized,,int64_t,,1024,0.25,3,28400,True
naive,,int64_t,,1024,0.25,3,49296,True
vectorized,,int64_t,,1024,0.25,4,29007,True
naive,,int64_t,,1024,0.25,4,29089,True
vectorized,,int64_t,,1024,0.25,5,28198,True
naive,,int64_t,,1024,0.25,5,32357,True
vectorized,,int64_t,,1024,0.25,6,28865,True
naive,,int64_t,,1024,0.25,6,31242,True
vectorized,,int64_t,,1024,0.25,7,27686,True
naive,,int64_t,,1024,0.25,7,30686,True
vectorized,,int64_t,,1024,0.25,8,28532,True
naive,,int64_t,,1024,0.25,8,37230,True
vectorized,,int64_t,,1024,0.25,9,28349,True
naive,,int64_t,,1024,0.25,9,30687,True
vectorized,,int64_t,,1024,1.0,0,27545,True
naive,,int64_t,,1024,1.0,0,29435,True
vectorized,,int64_t,,1024,1.0,1,28069,True
naive,,int64_t,,1024,1.0,1,30289,True
vectorized,,int64_t,,1024,1.0,2,27146,True
naive,,int64_t,,1024,1.0,2,31444,True
vectorized,,int64_t,,1024,1.0,3,27674,True
naive,,int64_t,,1024,1.0,3,31906,True
vectorized,,int64_t,,1024,1.0,4,27822,True
naive,,int64_t,,1024,1.0,4,29465,True
vectorized,,int64_t,,1024,1.0,5,27322,True
naive,,int64_t,,1024,1.0,5,26910,True
