mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,4096,0.001,5,13574087,False
naive,idxMin,double,,4096,0.001,5,13822782,False
vectorized,idxMin,double,,4096,0.001,6,13865979,False
naive,idxMin,double,,4096,0.001,6,13622499,False
vectorized,idxMin,double,,4096,0.001,7,13510270,False
naive,idxMin,double,,4096,0.001,7,13582935,False
vectorized,idxMin,double,,4096,0.001,8,13701077,False
naive,idxMin,double,,4096,0.001,8,13713346,False
vectorized,idxMin,double,,4096,0.001,9,18877653,False
naive,idxMin,double,,4096,0.001,9,13786725,False
vectorized,idxMin,double,,4096,0.01,0,13731599,False
naive,idxMin,double,,4096,0.01,0,13531385,False
vectorized,idxMin,double,,4096,0.01,1,15507498,False
naive,idxMin,double,,4096,0.01,1,13900479,False
vectorized,idxMin,double,,4096,0.01,2,13843347,False
naive,idxMin,double,,4096,0.01,2,13519909,False
vectorized,idxMin,double,,4096,0.01,3,13710159,False
naive,idxMin,double,,4096,0.01,3,18619310,False
vectorized,idxMin,double,,4096,0.01,4,13412588,False
naive,idxMin,double,,4096,0.01,4,13666175,False
vectorized,idxMin,double,,4096,0.01,5,13615562,False
naive,idxMin,double,,4096,0.01,5,13612941,False
vectorized,idxMin,double,,4096,0.01,6,13539277,False
naive,idxMin,double,,4096,0.01,6,13749538,False
vectorized,idxMin,double,,4096,0.01,7,13742015,False
naive,idxMin,double,,4096,0.01,7,13607787,False
vectorized,idxMin,double,,4096,0.01,8,13653199,False
naive,idxMin,double,,4096,0.01,8,13925842,False
vectorized,idxMin,double,,4096,0.01,9,13636364,False
naive,idxMin,double,,4096,0.01,9,13554428,False
vectorized,idxMin,double,,4096,0.05,0,13882239,False
naive,idxMin,double,,4096,0.05,0,13905269,False
vectorized,idxMin,double,,4096,0.05,1,13709847,False
naive,idxMin,double,,4096,0.05,1,13691778,False
vectorized,idxMin,double,,4096,0.05,2,13787494,False
naive,idxMin,double,,4096,0.05,2,13520720,False
vectorized,idxMin,double,,4096,0.05,3,13790200,False
naive,idxMin,double,,4096,0.05,3,13728241,False
vectorized,idxMin,double,,4096,0.05,4,17202546,False
naive,idxMin,double,,4096,0.05,4,13638926,False
vectorized,idxMin,double,,4096,0.05,5,13815243,False
naive,idxMin,double,,4096,0.05,5,13532231,False
vectorized,idxMin,double,,4096,0.05,6,13621301,False
naive,idxMin,double,,4096,0.05,6,13569467,False
vectorized,idxMin,double,,4096,0.05,7,13797402,False
naive,idxMin,double,,4096,0.05,7,13775889,False
vectorized,idxMin,double,,4096,0.05,8,13962896,False
naive,idxMin,double,,4096,0.05,8,13958479,False
vectorized,idxMin,double,,4096,0.05,9,13617867,False
naive,idxMin,double,,4096,0.05,9,19048380,False
vectorized,idxMin,double,,4096,0.1,0,13758902,False
naive,idxMin,double,,4096,0.1,0,13720583,False
vectorized,idxMin,double,,4096,0.1,1,18799436,False
naive,idxMin,double,,4096,0.1,1,13833065,False
vectorized,idxMin,double,,4096,0.1,2,13551542,False
naive,idxMin,double,,4096,0.1,2,13569763,False
vectorized,idxMin,double,,4096,0.1,3,13744756,False
naive,idxMin,double,,4096,0.1,3,13774812,False
vectorized,idxMin,double,,4096,0.1,4,13673866,False
naive,idxMin,double,,4096,0.1,4,13846268,False
vectorized,idxMin,double,,4096,0.1,5,13775139,False
naive,idxMin,double,,4096,0.1,5,17088122,False
vectorized,idxMin,double,,4096,0.1,6,13735584,False
naive,idxMin,double,,4096,0.1,6,18475011,False
vectorized,idxMin,double,,4096,0.1,7,13776723,False
naive,idxMin,double,,4096,0.1,7,13727729,False
vectorized,idxMin,double,,4096,0.1,8,13616893,False
naive,idxMin,double,,4096,0.1,8,13571292,False
