op,element_type,analysis,n,sparsity,mean_ns,std_ns
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.05,270715.2,3852.32644861085
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.1,310441.3,4980.437621334093
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.2,416057.6,27184.175107342624
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,5377349.0,4628.679797379377
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,5373884.0,4048.5613356955896
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.001,352325.5,6321.107027693445
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.01,396903.4,3038.412750836266
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.05,542545.1,35829.09463441997
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.1,934769.4,29324.975571459003
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.2,1764358.0,20403.514838815827
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,21004320.0,9349.129490076743
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,21019530.0,37771.47806951089
MEAN,double,numDistinct,1024,0.001,71515.2,2447.3204303664243
MEAN,double,numDistinct,1024,0.01,96397.9,2172.235430764046
MEAN,double,numDistinct,1024,0.05,105194.1,1253.0917719340787
MEAN,double,numDistinct,1024,0.1,114101.1,1773.815689410826
MEAN,double,numDistinct,1024,0.2,136833.0,5013.886826715479
MEAN,double,numDistinct,1024,0.25,2606488.0,6566.916746507113
MEAN,double,numDistinct,1024,1.0,2617603.0,34098.120199082965
MEAN,double,numDistinct,2048,0.001,173064.8,11750.595774966761
MEAN,double,numDistinct,2048,0.01,194869.1,1426.0294877736576
MEAN,double,numDistinct,2048,0.05,224221.7,2471.3472731375605
MEAN,double,numDistinct,2048,0.1,260369.7,2311.378234829699
MEAN,double,numDistinct,2048,0.2,363567.5,20534.379666251858
MEAN,double,numDistinct,2048,0.25,10420870.0,15047.33641988949
MEAN,double,numDistinct,2048,1.0,10408340.0,14139.794120770506
MEAN,double,numDistinct,4096,0.001,365224.6,21031.726447863908
MEAN,double,numDistinct,4096,0.01,403165.3,2887.4896459650804
MEAN,double,numDistinct,4096,0.05,548116.9,37767.187246926995
MEAN,double,numDistinct,4096,0.1,962368.3,27508.120304335196
MEAN,double,numDistinct,4096,0.2,1809813.0,25915.946206491826
MEAN,double,numDistinct,4096,0.25,41464010.0,10111.209401231788
MEAN,double,numDistinct,4096,1.0,41449680.0,58286.43448045551
MEAN,double,numDistinctApprox,1024,0.001,91862.3,2106.695835768525
MEAN,double,numDistinctApprox,1024,0.01,126707.9,2033.2690946136715
MEAN,double,numDistinctApprox,1024,0.05,141659.5,3219.7178016438434
MEAN,double,numDistinctApprox,1024,0.1,149519.0,2335.3276715127868
MEAN,double,numDistinctApprox,1024,0.2,173054.3,3327.6662509599364
MEAN,double,numDistinctApprox,1024,0.25,1396012.0,2539.2597346470625
MEAN,double,numDistinctApprox,1024,1.0,1404485.0,21164.08606316109
MEAN,double,numDistinctApprox,2048,0.001,216558.7,3278.711367798834
MEAN,double,numDistinctApprox,2048,0.01,237227.5,2659.1521309536893
MEAN,double,numDistinctApprox,2048,0.05,270740.9,3291.588824396032
MEAN,double,numDistinctApprox,2048,0.1,308047.9,4232.190697499349
MEAN,double,numDistinctApprox,2048,0.2,409748.3,19423.142439711795
MEAN,double,numDistinctApprox,2048,0.25,5390845.0,2948.865130106128
MEAN,double,numDistinctApprox,2048,1.0,5391417.0,5930.598714388808
MEAN,double,numDistinctApprox,4096,0.001,353612.0,5025.525047196567
MEAN,double,numDistinctApprox,4096,0.01,396561.6,4090.7359891996593
MEAN,double,numDistinctApprox,4096,0.05,535550.6,36448.125799095156
MEAN,double,numDistinctApprox,4096,0.1,920574.5,27473.272653212935
