result_repr,element_type,analysis,n,sparsity,mean_ns,std_ns
DenseMatrix,double,"min, max",4096,0.2,26255.1,562.2823430744857
DenseMatrix,double,"min, max",4096,0.25,25679.0,372.592121345701
DenseMatrix,double,"min, max",4096,1.0,25467.5,154.84562204552844
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.001,26998.8,19937.740175077237
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.01,62983.9,12105.357073534751
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.05,75864.9,7081.13257498011
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.1,94070.0,14204.002659657437
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.2,106055.2,18156.805750645315
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.25,103768.8,19951.57715737447
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,1.0,114776.4,8347.84667111492
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.001,36440.8,13565.793934254887
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.01,82470.3,7166.336349752067
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.05,89442.7,8280.35564252325
DenseMatrix,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.1,111558.3,15703.4250832245
